probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s10008_1V6__1	53	45	29	42,33	7,06	36	42	35	37,67	2,19	-1,12	-0,81	-1,46
Pp1s10015_1V6__1	36	43	44	41	2,52	40	37	52	43	4,58	1,05	0,85	1,27
Pp1s10083_1V6__1	55	36	72	54,33	10,4	30	40	30	33,33	3,33	-1,63	-1,09	-2,26
Pp1s100_101V6__1	40	40	63	47,67	7,67	45	44	32	40,33	4,18	-1,18	-0,84	-1,6
Pp1s100_102V6__1	29	24	35	29,33	3,18	38	37	35	36,67	0,88	1,25	1,06	1,53
Pp1s100_104V6__1	233	79	199	170,33	46,71	205	175	167	182,33	11,57	1,07	0,72	1,96
Pp1s100_106V6__1	54	42	26	40,67	8,11	34	38	47	39,67	3,84	-1,03	-0,67	-1,43
Pp1s100_107V6__1	30034	26651	28269	28318	976,9	27611	27701	30363	28558,33	902,71	1,01	0,93	1,09
Pp1s100_108V6__1	6508	7166	6922	6865,33	192,05	6996	6913	7901	7270	316,41	1,06	0,97	1,15
Pp1s100_110V6__1	7566	7229	7252	7349	108,7	8446	7841	7801	8029,33	208,65	1,09	1,04	1,15
Pp1s100_112V6__1	2893	3009	3480	3127,33	179,48	3311	3188	3188	3229	41	1,03	0,94	1,14
Pp1s100_113V6__1	42	28	66	45,33	11,1	31	30	33	31,33	0,88	-1,45	-0,86	-2,04
Pp1s100_116V6__1	810	857	799	822	17,79	538	667	741	648,67	59,31	-1,27	-1,1	-1,5
Pp1s100_117V6__1	9139	10868	9817	9941,33	502,98	9886	9610	9401	9632,33	140,45	-1,03	-0,94	-1,12
Pp1s100_118V6__1	1735	1509	1516	1586,67	74,19	1786	1578	1856	1740	83,48	1,1	0,98	1,22
Pp1s100_119V6__1	26315	23305	25105	24908,33	874,46	23023	24482	21435	22980	879,86	-1,08	-1	-1,18
Pp1s100_120V6__1	1714	2054	1908	1892	98,48	1671	1689	2073	1811	131,1	-1,04	-0,9	-1,21
Pp1s100_121V6__1	5615	4898	5103	5205,33	213,21	4612	5009	4898	4839,67	118,26	-1,08	-0,99	-1,16
Pp1s100_124V6__1	4934	4052	4549	4511,67	255,29	4363	4494	4189	4348,67	88,34	-1,04	-0,94	-1,14
Pp1s100_125V6__1	802	1120	1012	978	93,36	1069	1017	924	1003,33	42,41	1,03	0,87	1,23
Pp1s100_126V6__1	2225	1913	1842	1993,33	117,63	1680	1474	1693	1615,67	70,93	-1,23	-1,09	-1,39
Pp1s100_127V6__1	1138	1636	956	1243,33	203,24	1051	879	994	974,67	50,58	-1,28	-0,92	-1,65
Pp1s100_130V6__1	30	34	46	36,67	4,81	57	37	48	47,33	5,78	1,29	0,96	1,75
Pp1s100_132V6__1	47	43	45	45	1,15	62	70	52	61,33	5,21	1,36	1,17	1,56
