probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s10008_1V6	53	45	29	36	42	35	-1,12
Pp1s10015_1V6	36	43	44	40	37	52	1,05
Pp1s10083_1V6	55	36	72	30	40	30	-1,63
Pp1s100_101V6	40	40	63	45	44	32	-1,18
Pp1s100_102V6	29	24	35	38	37	35	1,25
Pp1s100_104V6	233	79	199	205	175	167	1,07
Pp1s100_106V6	54	42	26	34	38	47	-1,03
Pp1s100_107V6	30034	26651	28269	27611	27701	30363	1,01
Pp1s100_108V6	6508	7166	6922	6996	6913	7901	1,06
Pp1s100_110V6	7566	7229	7252	8446	7841	7801	1,09
Pp1s100_112V6	2893	3009	3480	3311	3188	3188	1,03
Pp1s100_113V6	42	28	66	31	30	33	-1,45
Pp1s100_116V6	810	857	799	538	667	741	-1,27
Pp1s100_117V6	9139	10868	9817	9886	9610	9401	-1,03
Pp1s100_118V6	1735	1509	1516	1786	1578	1856	1,1
Pp1s100_119V6	26315	23305	25105	23023	24482	21435	-1,08
Pp1s100_120V6	1714	2054	1908	1671	1689	2073	-1,04
Pp1s100_121V6	5615	4898	5103	4612	5009	4898	-1,08
Pp1s100_124V6	4934	4052	4549	4363	4494	4189	-1,04
Pp1s100_125V6	802	1120	1012	1069	1017	924	1,03
Pp1s100_126V6	2225	1913	1842	1680	1474	1693	-1,23
Pp1s100_127V6	1138	1636	956	1051	879	994	-1,28
Pp1s100_130V6	30	34	46	57	37	48	1,29
Pp1s100_132V6	47	43	45	62	70	52	1,36
Pp1s100_133V6	91	37	85	45	67	38	-1,42
Pp1s100_134V6	671	383	652	881	767	740	1,4
Pp1s100_135V6	34	69	52	76	34	61	1,1
Pp1s100_136V6	4671	4347	5252	3915	3840	4613	-1,15
Pp1s100_137V6	57	24	30	36	38	39	1,02
Pp1s100_139V6	423	247	313	254	104	163	-1,89
Pp1s100_141V6	3996	4932	4380	4092	4095	4048	-1,09
Pp1s100_144V6	10761	10595	9844	15217	14599	15757	1,46
