"Go_terms_and_categoria_BP.gene_id"	"Go_terms_and_categoria_BP.go_id"
"1"	"AT1G01010"	"GO:0006888"
"2"	"AT1G01010"	"GO:0007275"
"3"	"AT1G01010"	"GO:0043090"
"4"	"AT1G01020"	"GO:0006665"
"5"	"AT1G01020"	"GO:0006665"
"6"	"AT1G01020"	"GO:0016125"
"7"	"AT1G01020"	"GO:0016125"
"8"	"AT1G01030"	"GO:0006355"
"9"	"AT1G01030"	"GO:0006355"
"10"	"AT1G01030"	"GO:0006355"
"11"	"AT1G01030"	"GO:0009908"
"12"	"AT1G01030"	"GO:0048366"
"13"	"AT1G01040"	"GO:0000226"
"14"	"AT1G01040"	"GO:0000226"
"15"	"AT1G01040"	"GO:0000278"
"16"	"AT1G01040"	"GO:0000911"
"17"	"AT1G01040"	"GO:0006306"
"18"	"AT1G01040"	"GO:0006306"
"19"	"AT1G01040"	"GO:0006306"
"20"	"AT1G01040"	"GO:0006342"
"21"	"AT1G01040"	"GO:0006342"
"22"	"AT1G01040"	"GO:0006342"
"23"	"AT1G01040"	"GO:0006396"
"24"	"AT1G01040"	"GO:0006396"
"25"	"AT1G01040"	"GO:0006396"
"26"	"AT1G01040"	"GO:0006396"
"27"	"AT1G01040"	"GO:0007267"
"28"	"AT1G01040"	"GO:0009616"
"29"	"AT1G01040"	"GO:0009616"
"30"	"AT1G01040"	"GO:0009616"
"31"	"AT1G01040"	"GO:0009616"
"32"	"AT1G01040"	"GO:0009630"
"33"	"AT1G01040"	"GO:0009880"
"34"	"AT1G01040"	"GO:0009908"
"35"	"AT1G01040"	"GO:0010050"
"36"	"AT1G01040"	"GO:0010098"
"37"	"AT1G01040"	"GO:0010228"
"38"	"AT1G01040"	"GO:0010267"
"39"	"AT1G01040"	"GO:0010267"
"40"	"AT1G01040"	"GO:0010267"
"41"	"AT1G01040"	"GO:0010267"
"42"	"AT1G01040"	"GO:0010599"
"43"	"AT1G01040"	"GO:0010599"
"44"	"AT1G01040"	"GO:0016569"
"45"	"AT1G01040"	"GO:0016569"
"46"	"AT1G01040"	"GO:0030422"
"47"	"AT1G01040"	"GO:0030422"
"48"	"AT1G01040"	"GO:0031047"
"49"	"AT1G01040"	"GO:0031047"
"50"	"AT1G01040"	"GO:0031053"
"51"	"AT1G01040"	"GO:0031053"
"52"	"AT1G01040"	"GO:0035196"
"53"	"AT1G01040"	"GO:0035196"
"54"	"AT1G01040"	"GO:0035196"
"55"	"AT1G01040"	"GO:0035196"
"56"	"AT1G01040"	"GO:0035279"
"57"	"AT1G01040"	"GO:0035279"
"58"	"AT1G01040"	"GO:0051607"
"59"	"AT1G01040"	"GO:0051607"
"60"	"AT1G01040"	"GO:2000034"
"61"	"AT1G01050"	"GO:0000394"
"62"	"AT1G01050"	"GO:0000394"
"63"	"AT1G01050"	"GO:0008152"
"64"	"AT1G01050"	"GO:0009086"
"65"	"AT1G01050"	"GO:0009086"
"66"	"AT1G01050"	"GO:0019915"
"67"	"AT1G01060"	"GO:0006355"
"68"	"AT1G01060"	"GO:0006355"
"69"	"AT1G01060"	"GO:0006355"
"70"	"AT1G01060"	"GO:0006355"
"71"	"AT1G01060"	"GO:0006355"
"72"	"AT1G01060"	"GO:0006355"
"73"	"AT1G01060"	"GO:0007623"
"74"	"AT1G01060"	"GO:0007623"
"75"	"AT1G01060"	"GO:0009409"
"76"	"AT1G01060"	"GO:0009409"
"77"	"AT1G01060"	"GO:0009639"
"78"	"AT1G01060"	"GO:0009651"
"79"	"AT1G01060"	"GO:0009651"
"80"	"AT1G01060"	"GO:0009651"
"81"	"AT1G01060"	"GO:0009651"
"82"	"AT1G01060"	"GO:0009723"
"83"	"AT1G01060"	"GO:0009723"
"84"	"AT1G01060"	"GO:0009733"
"85"	"AT1G01060"	"GO:0009733"
"86"	"AT1G01060"	"GO:0009737"
"87"	"AT1G01060"	"GO:0009737"
"88"	"AT1G01060"	"GO:0009739"
"89"	"AT1G01060"	"GO:0009739"
"90"	"AT1G01060"	"GO:0009751"
"91"	"AT1G01060"	"GO:0009751"
"92"	"AT1G01060"	"GO:0009753"
"93"	"AT1G01060"	"GO:0009753"
"94"	"AT1G01060"	"GO:0042752"
"95"	"AT1G01060"	"GO:0042752"
"96"	"AT1G01060"	"GO:0042752"
"97"	"AT1G01060"	"GO:0042754"
"98"	"AT1G01060"	"GO:0043433"
"99"	"AT1G01060"	"GO:0043433"
"100"	"AT1G01060"	"GO:0043433"
"101"	"AT1G01060"	"GO:0046686"
"102"	"AT1G01060"	"GO:0048574"
"103"	"AT1G01060"	"GO:0048574"
"104"	"AT1G01060"	"GO:0048574"
"105"	"AT1G01060"	"GO:0048574"
"106"	"AT1G01073"	"GO:0008150"
"107"	"AT1G01080"	"GO:0006655"
"108"	"AT1G01080"	"GO:0006655"
"109"	"AT1G01080"	"GO:0008150"
"110"	"AT1G01080"	"GO:0010103"
"111"	"AT1G01080"	"GO:0019288"
"112"	"AT1G01080"	"GO:0019288"
"113"	"AT1G01090"	"GO:0008152"
"114"	"AT1G01100"	"GO:0006414"
"115"	"AT1G01100"	"GO:0006414"
"116"	"AT1G01100"	"GO:0006414"
"117"	"AT1G01100"	"GO:0009664"
"118"	"AT1G01100"	"GO:0009664"
"119"	"AT1G01100"	"GO:0042545"
"120"	"AT1G01100"	"GO:0042545"
"121"	"AT1G01115"	"GO:0008150"
"122"	"AT1G01120"	"GO:0000038"
"123"	"AT1G01120"	"GO:0000038"
"124"	"AT1G01120"	"GO:0000038"
"125"	"AT1G01120"	"GO:0000038"
"126"	"AT1G01120"	"GO:0009409"
"127"	"AT1G01120"	"GO:0009409"
"128"	"AT1G01120"	"GO:0009409"
"129"	"AT1G01120"	"GO:0009409"
"130"	"AT1G01120"	"GO:0009416"
"131"	"AT1G01120"	"GO:0009611"
"132"	"AT1G01120"	"GO:0009805"
"133"	"AT1G01120"	"GO:0009805"
"134"	"AT1G01120"	"GO:0010025"
"135"	"AT1G01120"	"GO:0010025"
"136"	"AT1G01120"	"GO:0030497"
"137"	"AT1G01120"	"GO:0030497"
"138"	"AT1G01120"	"GO:0042335"
"139"	"AT1G01120"	"GO:0042335"
"140"	"AT1G01130"	"GO:0008150"
"141"	"AT1G01140"	"GO:0009409"
"142"	"AT1G01140"	"GO:0009409"
"143"	"AT1G01140"	"GO:0009611"
"144"	"AT1G01140"	"GO:0009651"
"145"	"AT1G01140"	"GO:0009651"
"146"	"AT1G01140"	"GO:0010555"
"147"	"AT1G01140"	"GO:0043266"
"148"	"AT1G01140"	"GO:0051365"
"149"	"AT1G01140"	"GO:0051365"
"150"	"AT1G01140"	"GO:0055075"
"151"	"AT1G01160"	"GO:0000278"
"152"	"AT1G01160"	"GO:0000956"
"153"	"AT1G01160"	"GO:0000956"
"154"	"AT1G01160"	"GO:0006355"
"155"	"AT1G01160"	"GO:0006355"
"156"	"AT1G01160"	"GO:0006355"
"157"	"AT1G01160"	"GO:0006396"
"158"	"AT1G01160"	"GO:0006396"
"159"	"AT1G01160"	"GO:0008283"
"160"	"AT1G01160"	"GO:0009410"
"161"	"AT1G01160"	"GO:0010048"
"162"	"AT1G01160"	"GO:0010048"
"163"	"AT1G01160"	"GO:0043687"
"164"	"AT1G01160"	"GO:0043687"
"165"	"AT1G01160"	"GO:0043687"
"166"	"AT1G01160"	"GO:0045893"
"167"	"AT1G01160"	"GO:0045893"
"168"	"AT1G01160"	"GO:0045893"
"169"	"AT1G01160"	"GO:0048366"
"170"	"AT1G01160"	"GO:0048522"
"171"	"AT1G01210"	"GO:0006354"
"172"	"AT1G01210"	"GO:0006354"
"173"	"AT1G01210"	"GO:0006354"
"174"	"AT1G01210"	"GO:0006355"
"175"	"AT1G01210"	"GO:0006355"
"176"	"AT1G01210"	"GO:0006355"
"177"	"AT1G01220"	"GO:0030244"
"178"	"AT1G01220"	"GO:0030244"
"179"	"AT1G01220"	"GO:0042352"
"180"	"AT1G01220"	"GO:0042352"
"181"	"AT1G01220"	"GO:0048193"
"182"	"AT1G01225"	"GO:0010089"
"183"	"AT1G01225"	"GO:0044036"
"184"	"AT1G01225"	"GO:0044036"
"185"	"AT1G01230"	"GO:0006457"
"186"	"AT1G01230"	"GO:0006457"
"187"	"AT1G01230"	"GO:0006457"
"188"	"AT1G01230"	"GO:0006661"
"189"	"AT1G01230"	"GO:0006661"
"190"	"AT1G01230"	"GO:0010286"
"191"	"AT1G01230"	"GO:0010286"
"192"	"AT1G01250"	"GO:0006355"
"193"	"AT1G01250"	"GO:0006355"
"194"	"AT1G01250"	"GO:0006355"
"195"	"AT1G01250"	"GO:0009409"
"196"	"AT1G01250"	"GO:0009409"
"197"	"AT1G01250"	"GO:0009414"
"198"	"AT1G01250"	"GO:0009414"
"199"	"AT1G01250"	"GO:0009737"
"200"	"AT1G01260"	"GO:0006355"
"201"	"AT1G01260"	"GO:0006355"
"202"	"AT1G01260"	"GO:0006355"
"203"	"AT1G01260"	"GO:0009694"
"204"	"AT1G01260"	"GO:0009694"
"205"	"AT1G01260"	"GO:0009753"
"206"	"AT1G01280"	"GO:0010208"
"207"	"AT1G01280"	"GO:0010208"
"208"	"AT1G01280"	"GO:0010208"
"209"	"AT1G01280"	"GO:0010584"
"210"	"AT1G01280"	"GO:0010584"
"211"	"AT1G01280"	"GO:0010584"
"212"	"AT1G01280"	"GO:0010584"
"213"	"AT1G01280"	"GO:0010584"
"214"	"AT1G01280"	"GO:0010584"
"215"	"AT1G01280"	"GO:0010584"
"216"	"AT1G01280"	"GO:0010584"
"217"	"AT1G01280"	"GO:0010584"
"218"	"AT1G01280"	"GO:0051791"
"219"	"AT1G01280"	"GO:0051791"
"220"	"AT1G01280"	"GO:0051792"
"221"	"AT1G01280"	"GO:0051792"
"222"	"AT1G01280"	"GO:0080110"
"223"	"AT1G01280"	"GO:0080110"
"224"	"AT1G01280"	"GO:0080110"
"225"	"AT1G01280"	"GO:0080110"
"226"	"AT1G01280"	"GO:0080110"
"227"	"AT1G01280"	"GO:0080110"
"228"	"AT1G01280"	"GO:0080110"
"229"	"AT1G01280"	"GO:0080110"
"230"	"AT1G01290"	"GO:0006777"
"231"	"AT1G01290"	"GO:0006777"
"232"	"AT1G01290"	"GO:0006777"
"233"	"AT1G01300"	"GO:0006508"
"234"	"AT1G01300"	"GO:0009664"
"235"	"AT1G01300"	"GO:0009664"
"236"	"AT1G01300"	"GO:0042545"
"237"	"AT1G01300"	"GO:0042545"
"238"	"AT1G01300"	"GO:0080167"
"239"	"AT1G01305"	"GO:0008150"
"240"	"AT1G01310"	"GO:0008150"
"241"	"AT1G01320"	"GO:0016556"
"242"	"AT1G01320"	"GO:0016556"
"243"	"AT1G01360"	"GO:0009738"
"244"	"AT1G01360"	"GO:0009738"
"245"	"AT1G01370"	"GO:0000911"
"246"	"AT1G01370"	"GO:0006270"
"247"	"AT1G01370"	"GO:0006270"
"248"	"AT1G01370"	"GO:0006270"
"249"	"AT1G01370"	"GO:0006275"
"250"	"AT1G01370"	"GO:0006275"
"251"	"AT1G01370"	"GO:0006275"
"252"	"AT1G01370"	"GO:0006346"
"253"	"AT1G01370"	"GO:0006346"
"254"	"AT1G01370"	"GO:0006346"
"255"	"AT1G01370"	"GO:0006346"
"256"	"AT1G01370"	"GO:0008283"
"257"	"AT1G01370"	"GO:0009567"
"258"	"AT1G01370"	"GO:0009909"
"259"	"AT1G01370"	"GO:0010389"
