"Go_terms_and_categoria_BP.gene_id"	"Go_terms_and_categoria_BP.go_id"
"1"	"AT1G01010"	"GO:0003700"
"2"	"AT1G01020"	"GO:0003674"
"3"	"AT1G01030"	"GO:0003700"
"4"	"AT1G01040"	"GO:0003725"
"5"	"AT1G01040"	"GO:0004525"
"6"	"AT1G01040"	"GO:0005515"
"7"	"AT1G01040"	"GO:0005515"
"8"	"AT1G01040"	"GO:0005515"
"9"	"AT1G01040"	"GO:0005515"
"10"	"AT1G01040"	"GO:0005515"
"11"	"AT1G01040"	"GO:0008026"
"12"	"AT1G01050"	"GO:0004427"
"13"	"AT1G01060"	"GO:0003677"
"14"	"AT1G01060"	"GO:0003700"
"15"	"AT1G01060"	"GO:0003700"
"16"	"AT1G01060"	"GO:0003700"
"17"	"AT1G01060"	"GO:0044212"
"18"	"AT1G01060"	"GO:0044212"
"19"	"AT1G01073"	"GO:0003674"
"20"	"AT1G01080"	"GO:0003723"
"21"	"AT1G01090"	"GO:0004739"
"22"	"AT1G01090"	"GO:0004739"
"23"	"AT1G01100"	"GO:0003735"
"24"	"AT1G01110"	"GO:0003674"
"25"	"AT1G01115"	"GO:0003674"
"26"	"AT1G01120"	"GO:0009922"
"27"	"AT1G01120"	"GO:0016746"
"28"	"AT1G01130"	"GO:0003674"
"29"	"AT1G01140"	"GO:0005515"
"30"	"AT1G01140"	"GO:0005515"
"31"	"AT1G01140"	"GO:0016301"
"32"	"AT1G01160"	"GO:0003713"
"33"	"AT1G01160"	"GO:0005515"
"34"	"AT1G01170"	"GO:0003674"
"35"	"AT1G01190"	"GO:0019825"
"36"	"AT1G01200"	"GO:0005525"
"37"	"AT1G01200"	"GO:0005525"
"38"	"AT1G01210"	"GO:0003677"
"39"	"AT1G01210"	"GO:0003700"
"40"	"AT1G01210"	"GO:0003899"
"41"	"AT1G01220"	"GO:0004335"
"42"	"AT1G01220"	"GO:0004335"
"43"	"AT1G01220"	"GO:0005524"
"44"	"AT1G01220"	"GO:0005524"
"45"	"AT1G01220"	"GO:0047341"
"46"	"AT1G01220"	"GO:0050201"
"47"	"AT1G01220"	"GO:0050201"
"48"	"AT1G01230"	"GO:0003674"
"49"	"AT1G01250"	"GO:0003677"
"50"	"AT1G01250"	"GO:0003700"
"51"	"AT1G01250"	"GO:0003700"
"52"	"AT1G01260"	"GO:0003677"
"53"	"AT1G01260"	"GO:0003700"
"54"	"AT1G01260"	"GO:0003700"
"55"	"AT1G01280"	"GO:0016709"
"56"	"AT1G01280"	"GO:0019825"
"57"	"AT1G01290"	"GO:0003824"
"58"	"AT1G01305"	"GO:0003674"
"59"	"AT1G01310"	"GO:0003674"
"60"	"AT1G01340"	"GO:0005216"
"61"	"AT1G01340"	"GO:0005516"
"62"	"AT1G01340"	"GO:0005516"
"63"	"AT1G01340"	"GO:0030551"
"64"	"AT1G01350"	"GO:0003676"
"65"	"AT1G01360"	"GO:0005515"
"66"	"AT1G01360"	"GO:0005515"
"67"	"AT1G01360"	"GO:0005515"
"68"	"AT1G01360"	"GO:0005515"
"69"	"AT1G01360"	"GO:0005515"
"70"	"AT1G01360"	"GO:0005515"
"71"	"AT1G01360"	"GO:0005515"
"72"	"AT1G01360"	"GO:0010427"
"73"	"AT1G01360"	"GO:0010427"
"74"	"AT1G01370"	"GO:0003677"
"75"	"AT1G01370"	"GO:0005515"
"76"	"AT1G01380"	"GO:0003677"
"77"	"AT1G01380"	"GO:0003700"
"78"	"AT1G01380"	"GO:0003700"
"79"	"AT1G01390"	"GO:0008194"
"80"	"AT1G01390"	"GO:0016757"
"81"	"AT1G01390"	"GO:0016757"
"82"	"AT1G01400"	"GO:0003674"
"83"	"AT1G01420"	"GO:0008194"
"84"	"AT1G01420"	"GO:0016757"
"85"	"AT1G01420"	"GO:0016757"
"86"	"AT1G01420"	"GO:0080043"
"87"	"AT1G01440"	"GO:0003674"
"88"	"AT1G01450"	"GO:0004712"
"89"	"AT1G01450"	"GO:0004712"
"90"	"AT1G01450"	"GO:0016301"
"91"	"AT1G01453"	"GO:0003674"
"92"	"AT1G01460"	"GO:0016308"
"93"	"AT1G01460"	"GO:0016308"
"94"	"AT1G01470"	"GO:0003674"
"95"	"AT1G01470"	"GO:0003674"
"96"	"AT1G01471"	"GO:0003674"
"97"	"AT1G01480"	"GO:0016847"
"98"	"AT1G01480"	"GO:0016847"
"99"	"AT1G01490"	"GO:0046872"
"100"	"AT1G01500"	"GO:0003674"
"101"	"AT1G01510"	"GO:0005515"
"102"	"AT1G01510"	"GO:0042802"
"103"	"AT1G01510"	"GO:0042802"
"104"	"AT1G01510"	"GO:0042802"
"105"	"AT1G01510"	"GO:0042803"
"106"	"AT1G01520"	"GO:0003677"
"107"	"AT1G01520"	"GO:0003700"
"108"	"AT1G01520"	"GO:0003700"
"109"	"AT1G01530"	"GO:0003677"
"110"	"AT1G01530"	"GO:0003700"
"111"	"AT1G01530"	"GO:0003700"
"112"	"AT1G01540"	"GO:0004674"
"113"	"AT1G01540"	"GO:0004674"
"114"	"AT1G01540"	"GO:0016301"
"115"	"AT1G01550"	"GO:0003674"
"116"	"AT1G01560"	"GO:0004707"
"117"	"AT1G01560"	"GO:0004707"
"118"	"AT1G01560"	"GO:0004707"
"119"	"AT1G01560"	"GO:0004707"
"120"	"AT1G01560"	"GO:0005515"
"121"	"AT1G01560"	"GO:0005515"
"122"	"AT1G01560"	"GO:0016301"
"123"	"AT1G01570"	"GO:0016757"
"124"	"AT1G01580"	"GO:0000293"
"125"	"AT1G01580"	"GO:0000293"
"126"	"AT1G01580"	"GO:0000293"
"127"	"AT1G01590"	"GO:0000293"
"128"	"AT1G01590"	"GO:0000293"
"129"	"AT1G01600"	"GO:0018685"
"130"	"AT1G01600"	"GO:0019825"
"131"	"AT1G01610"	"GO:0016746"
"132"	"AT1G01610"	"GO:0016791"
"133"	"AT1G01610"	"GO:0090447"
"134"	"AT1G01620"	"GO:0005515"
"135"	"AT1G01620"	"GO:0005515"
"136"	"AT1G01620"	"GO:0015250"
"137"	"AT1G01620"	"GO:0015250"
"138"	"AT1G01630"	"GO:0005215"
"139"	"AT1G01640"	"GO:0005515"
"140"	"AT1G01650"	"GO:0008233"
"141"	"AT1G01690"	"GO:0003674"
"142"	"AT1G01700"	"GO:0005089"
"143"	"AT1G01710"	"GO:0030551"
"144"	"AT1G01710"	"GO:0047617"
"145"	"AT1G01720"	"GO:0003700"
"146"	"AT1G01725"	"GO:0003674"
"147"	"AT1G01730"	"GO:0003674"
"148"	"AT1G01740"	"GO:0016301"
"149"	"AT1G01760"	"GO:0003723"
"150"	"AT1G01760"	"GO:0004000"
"151"	"AT1G01760"	"GO:0004000"
"152"	"AT1G01780"	"GO:0051015"
"153"	"AT1G01780"	"GO:0051015"
"154"	"AT1G01790"	"GO:0015079"
"155"	"AT1G01790"	"GO:0015386"
"156"	"AT1G01800"	"GO:0016491"
"157"	"AT1G01810"	"GO:0003674"
"158"	"AT1G01820"	"GO:0003674"
"159"	"AT1G01820"	"GO:0005515"
"160"	"AT1G01820"	"GO:0005515"
"161"	"AT1G01820"	"GO:0042802"
"162"	"AT1G01840"	"GO:0003674"
"163"	"AT1G01860"	"GO:0016422"
"164"	"AT1G01880"	"GO:0004518"
"165"	"AT1G01900"	"GO:0004252"
"166"	"AT1G01910"	"GO:0005515"
"167"	"AT1G01910"	"GO:0005524"
"168"	"AT1G01910"	"GO:0005524"
"169"	"AT1G01920"	"GO:0003674"
"170"	"AT1G01940"	"GO:0003755"
"171"	"AT1G01950"	"GO:0003777"
"172"	"AT1G01960"	"GO:0005085"
"173"	"AT1G01960"	"GO:0005086"
"174"	"AT1G01970"	"GO:0003674"
"175"	"AT1G01980"	"GO:0009055"
"176"	"AT1G01990"	"GO:0003674"
"177"	"AT1G02000"	"GO:0003824"
"178"	"AT1G02000"	"GO:0050378"
"179"	"AT1G02010"	"GO:0008565"
"180"	"AT1G02020"	"GO:0016657"
"181"	"AT1G02030"	"GO:0003676"
"182"	"AT1G02030"	"GO:0003700"
"183"	"AT1G02030"	"GO:0008270"
"184"	"AT1G02040"	"GO:0003676"
"185"	"AT1G02040"	"GO:0003700"
"186"	"AT1G02040"	"GO:0008270"
"187"	"AT1G02050"	"GO:0090439"
"188"	"AT1G02065"	"GO:0003677"
"189"	"AT1G02065"	"GO:0003677"
"190"	"AT1G02074"	"GO:0003674"
"191"	"AT1G02090"	"GO:0004708"
"192"	"AT1G02090"	"GO:0004708"
"193"	"AT1G02090"	"GO:0005515"
"194"	"AT1G02090"	"GO:0005515"
"195"	"AT1G02090"	"GO:0005515"
"196"	"AT1G02090"	"GO:0005515"
"197"	"AT1G02100"	"GO:0008168"
"198"	"AT1G02110"	"GO:0003674"
"199"	"AT1G02130"	"GO:0005525"
"200"	"AT1G02130"	"GO:0005525"
"201"	"AT1G02140"	"GO:0005515"
"202"	"AT1G02140"	"GO:0005515"
"203"	"AT1G02145"	"GO:0000009"
"204"	"AT1G02160"	"GO:0003674"
"205"	"AT1G02170"	"GO:0004197"
"206"	"AT1G02170"	"GO:0005515"
"207"	"AT1G02180"	"GO:0003674"
"208"	"AT1G02190"	"GO:0003824"
"209"	"AT1G02205"	"GO:0071771"
"210"	"AT1G02220"	"GO:0003700"
"211"	"AT1G02230"	"GO:0003700"
"212"	"AT1G02250"	"GO:0003700"
"213"	"AT1G02260"	"GO:0005215"
"214"	"AT1G02270"	"GO:0003824"
"215"	"AT1G02270"	"GO:0005509"
"216"	"AT1G02280"	"GO:0003924"
"217"	"AT1G02280"	"GO:0005515"
"218"	"AT1G02280"	"GO:0005515"
"219"	"AT1G02280"	"GO:0005515"
"220"	"AT1G02280"	"GO:0005525"
"221"	"AT1G02280"	"GO:0005525"
"222"	"AT1G02280"	"GO:0005525"
"223"	"AT1G02280"	"GO:0005525"
"224"	"AT1G02280"	"GO:0042802"
"225"	"AT1G02280"	"GO:0042803"
"226"	"AT1G02290"	"GO:0003674"
"227"	"AT1G02300"	"GO:0008234"
"228"	"AT1G02305"	"GO:0008234"
"229"	"AT1G02310"	"GO:0004553"
"230"	"AT1G02320"	"GO:0003674"
"231"	"AT1G02330"	"GO:0003674"
"232"	"AT1G02340"	"GO:0003677"
"233"	"AT1G02340"	"GO:0003700"
