Synonyms	Gene name
Pp3c8_13580	Pp1s184_139V6
Pp3c8_13580	Pp1s184_139V6
Pp3c8_13580	Pp1s184_139V6
Pp3c8_13580	Pp1s184_139V6
Pp3c8_13580	Pp1s184_139V6
Pp3c8_13580	Pp1s184_139V6
Pp3c8_13580	Pp1s184_139V6
Pp3c6_1200	Pp1s77_27V6
Pp3c6_1200	Pp1s77_27V6
Pp3c6_1200	Pp1s77_27V6
Pp3c13_120	Pp1s176_20V6
Pp3c13_120	Pp1s176_20V6
Pp3c19_8070	Pp1s553_2V6
Pp3c19_8070	Pp1s553_2V6
Pp3c5_7620	Pp1s186_65V6
Pp3c5_7620	Pp1s186_65V6
Pp3c5_7620	Pp1s186_65V6
Pp3c5_7620	Pp1s186_65V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c20_5090	Pp1s9_50V6
Pp3c2_6630	Pp1s7_442V6
Pp3c2_6630	Pp1s7_442V6
Pp3c2_6630	Pp1s7_442V6
Pp3c2_6630	Pp1s7_442V6
Pp3c2_6630	Pp1s7_442V6
Pp3c2_6630	Pp1s7_442V6
Pp3c21_2800	Pp1s27_1V6
Pp3c21_2800	Pp1s27_1V6
Pp3c21_2800	Pp1s27_1V6
Pp3c21_11820	Pp1s382_27V6
Pp3c21_11820	Pp1s382_27V6
Pp3c21_11820	Pp1s382_27V6
Pp3c8_11160	Pp1s62_37V6
Pp3c8_11160	Pp1s62_37V6
Pp3c8_11160	Pp1s62_37V6
Pp3c13_11520	Pp1s5_291V6
Pp3c13_11520	Pp1s5_291V6
Pp3c13_11520	Pp1s5_291V6
Pp3c13_11520	Pp1s5_291V6
Pp3c13_11520	Pp1s5_291V6
Pp3c13_11520	Pp1s5_291V6
Pp3c1_29920	Pp1s171_127V6
Pp3c1_29920	Pp1s171_127V6
Pp3c10_6980	Pp1s293_5V6
Pp3c10_6980	Pp1s293_5V6
Pp3c10_6980	Pp1s293_5V6
Pp3c25_3310	Pp1s326_23V6
Pp3c25_3310	Pp1s326_23V6
Pp3c25_3310	Pp1s326_23V6
Pp3c25_3310	Pp1s326_23V6
Pp3c25_3310	Pp1s326_23V6
Pp3c25_3310	Pp1s326_23V6
Pp3c25_3310	Pp1s326_23V6
Pp3c25_3310	Pp1s326_23V6
