"Genes"	"pvalue"	"foldchange"
"1"	"Pp1s100_144V6"	0.000459037288154803	-0.547011365248341
"2"	"Pp1s100_149V6"	0.0238794975190298	0.323943162040973
"3"	"Pp1s100_218V2"	0.0135473885714237	-0.473635908272003
"4"	"Pp1s100_220V6"	0.00849069637398673	-1.03326508250342
"5"	"Pp1s100_253V6"	0.0373166864136677	-0.367220254979211
"6"	"Pp1s100_30V6"	0.00695629838802654	-0.290662571211561
"7"	"Pp1s100_48V6"	0.025676073349945	-0.915484926490645
"8"	"Pp1s100_73V6"	0.00389254893790291	0.604476397674889
"9"	"Pp1s100_77V6"	0.00263990001586319	0.833261985277383
"10"	"Pp1s10198_1V6"	0.00409187540705992	1.00792875095479
"11"	"Pp1s101_103V6"	0.0163604086823023	-0.467986460657178
"12"	"Pp1s101_120V6"	0.0420019550424793	-0.1657341701944
"13"	"Pp1s101_134V6"	0.0283185114487146	-0.494357353715763
"14"	"Pp1s101_148V6"	0.0293254899322061	-0.177109429459831
"15"	"Pp1s101_158V6"	0.0348973128283495	-0.264387849541198
"16"	"Pp1s101_169V6"	3.14371097004416e-05	-0.966307748614868
"17"	"Pp1s101_171V6"	0.00132009921251003	-0.875908165144091
"18"	"Pp1s101_173V6"	0.0203032839226308	-1.32936483097965
"19"	"Pp1s101_187V6"	0.0452703306618491	-0.749138004946052
"20"	"Pp1s101_196V6"	0.0304465208045335	0.692098228916645
"21"	"Pp1s101_201V6"	0.0308649814756952	-0.432077106189729
"22"	"Pp1s101_239V6"	0.00340260170515855	0.273184079454836
"23"	"Pp1s101_240V6"	0.00225731195891978	0.72755649927208
"24"	"Pp1s101_241V6"	0.018563564424945	0.398952612919262
"25"	"Pp1s101_244V6"	0.0476170541753362	0.445977866794331
"26"	"Pp1s101_24V6"	0.00315106189871363	0.565411006057811
"27"	"Pp1s101_2V6"	0.0226893253990362	-0.0879582021599763
"28"	"Pp1s101_52V6"	0.0487841185146367	1.36089675460545
"29"	"Pp1s101_55V6"	0.0486936216362799	-0.520352883310425
"30"	"Pp1s101_67V6"	0.0431948169981833	-0.285786683561668
"31"	"Pp1s102_100V6"	0.0210139804801773	-0.515473397886385
"32"	"Pp1s102_107V6"	0.0227519122533525	-0.137205979629968
"33"	"Pp1s102_130V6"	0.0415872582987579	0.450236987035067
"34"	"Pp1s102_139V2"	0.0270638159642648	-0.293487087338733
"35"	"Pp1s102_139V6"	0.0340014475840367	-0.163441038397306
"36"	"Pp1s102_180V6"	0.0333412894940828	-0.845044743050861
"37"	"Pp1s102_33V6"	0.0442336396707373	0.737287358335082
"38"	"Pp1s102_35V6"	0.0365406058069918	0.21922112048056
"39"	"Pp1s102_41V6"	0.0135976566155532	1.92706940528715
