"Genes"	"pvalue"	"foldchange"
"1"	"Pp1s100_73V6"	0.00389254893790291	0.604476397674889
"2"	"Pp1s100_77V6"	0.00263990001586319	0.833261985277383
"3"	"Pp1s10198_1V6"	0.00409187540705992	1.00792875095479
"4"	"Pp1s101_196V6"	0.0304465208045335	0.692098228916645
"5"	"Pp1s101_240V6"	0.00225731195891978	0.72755649927208
"6"	"Pp1s101_52V6"	0.0487841185146367	1.36089675460545
"7"	"Pp1s102_33V6"	0.0442336396707373	0.737287358335082
"8"	"Pp1s102_41V6"	0.0135976566155532	1.92706940528715
"9"	"Pp1s102_49V6"	0.0264301947629176	1.59522473862605
"10"	"Pp1s102_59V6"	0.00137928117380102	1.85664315098445
"11"	"Pp1s102_88V2"	0.0121785851683505	0.868267354811652
"12"	"Pp1s103_24V6"	0.0107074823935748	0.68265254916931
"13"	"Pp1s103_73V6"	0.0415786965680756	2.60339204935479
"14"	"Pp1s104_132V6"	0.0148680351405338	0.911791657009084
"15"	"Pp1s104_31V6"	0.021839995909954	0.865697240812934
"16"	"Pp1s107_106V6"	0.0140725132014043	0.692844351537769
"17"	"Pp1s107_200V6"	0.00438871059816655	1.01987171218495
"18"	"Pp1s107_41V6"	0.00747736032181365	1.26403598825586
"19"	"Pp1s108_108V6"	0.0190285242311367	0.89891722068757
"20"	"Pp1s10_153V6"	0.00527630023561338	0.871462145216478
"21"	"Pp1s10_174V6"	0.0219112047484366	0.808787467850295
"22"	"Pp1s10_188V6"	0.033698326483542	0.766889026888594
"23"	"Pp1s10_251V6"	0.024114305981365	0.68618796416487
"24"	"Pp1s10_285V6"	0.0454029715612526	0.943208075495521
"25"	"Pp1s10_36V6"	0.00758427829422858	0.795476272699602
"26"	"Pp1s10_377V6"	0.000548436227163187	1.07759074924412
"27"	"Pp1s10_88V6"	0.040099028545217	0.611557656648865
"28"	"Pp1s111_18V6"	0.0102751933173765	0.649310313259571
"29"	"Pp1s11293_1V6"	0.00303076962207963	0.97822561988915
"30"	"Pp1s112_242V6"	0.0342249837348876	0.879609075109128
"31"	"Pp1s112_25V6"	0.00682589878350929	0.810732804984245
"32"	"Pp1s112_42V6"	0.0169053751370916	1.00767867820544
"33"	"Pp1s113_80V6"	0.00487110219095343	0.871199800395266
"34"	"Pp1s114_172V6"	0.00179348235638334	0.759503085139569
"35"	"Pp1s114_207V6"	0.00475307165457581	0.670719022976474
"36"	"Pp1s115_157V6"	0.0407573422278712	0.84437688830193
"37"	"Pp1s115_199V6"	0.035234326756661	1.18170759254816
