Synonyms	Gene Name 
Pp3c24_12160	Pp1s16_320V6
Pp3c24_12160	Pp1s16_320V6
Pp3c24_12160	Pp1s16_320V6
Pp3c24_12160	Pp1s16_320V6
Pp3c24_12160	Pp1s16_320V6
Pp3c19_14460	Pp1s20_237V6
Pp3c19_14460	Pp1s20_237V6
Pp3c19_14460	Pp1s20_237V6
Pp3c19_14460	Pp1s20_237V6
Pp3c9_19040	Pp1s89_116V6
Pp3c9_19040	Pp1s89_116V6
Pp3c5_9700	Pp1s64_168V6
Pp3c5_9700	Pp1s64_168V6
Pp3c21_8410	Pp1s465_11V6
Pp3c21_8410	Pp1s465_11V6
Pp3c21_8410	Pp1s465_11V6
Pp3c21_8410	Pp1s465_11V6
Pp3c21_8410	Pp1s465_11V6
Pp3c21_8410	Pp1s465_11V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c4_1590	Pp1s160_114V6
Pp3c26_2070	Pp1s149_275V6
Pp3c26_2070	Pp1s149_275V6
Pp3c3_14480	Pp1s25_114V6
Pp3c3_14480	Pp1s25_114V6
Pp3c15_24070	Pp1s66_199V6
Pp3c15_24070	Pp1s66_199V6
Pp3c15_24070	Pp1s66_199V6
Pp3c15_24070	Pp1s66_199V6
Pp3c19_18320	Pp1s172_76V6
Pp3c19_18320	Pp1s172_76V6
Pp3c19_18320	Pp1s172_76V6
Pp3c20_2280	Pp1s152_105V6
Pp3c20_2280	Pp1s152_105V6
Pp3c20_2280	Pp1s152_105V6
Pp3c20_2280	Pp1s152_105V6
Pp3c20_2280	Pp1s152_105V6
Pp3c11_2920	Pp1s39_337V6
Pp3c11_2920	Pp1s39_337V6
Pp3c24_12080	Pp1s16_314V6
Pp3c24_12080	Pp1s16_314V6
Pp3c24_12080	Pp1s16_314V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c27_440	Pp1s280_38V6
Pp3c13_16610	Pp1s142_145V6
Pp3c13_16610	Pp1s142_145V6
Pp3c13_16610	Pp1s142_145V6
Pp3c22_18520	Pp1s92_33V6
Pp3c22_18520	Pp1s92_33V6
Pp3c22_18520	Pp1s92_33V6
Pp3c22_18520	Pp1s92_33V6
Pp3c22_18520	Pp1s92_33V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c7_26640	Pp1s97_257V6
Pp3c7_26640	Pp1s97_257V6
Pp3c2_26360	Pp1s22_421V6
Pp3c8_14580	Pp1s184_36V6
Pp3c8_14580	Pp1s184_36V6
Pp3c4_6480	Pp1s337_5V6
Pp3c4_6480	Pp1s337_5V6
Pp3c4_6480	Pp1s337_5V6
Pp3c4_6480	Pp1s337_5V6
Pp3c1_37890	Pp1s147_29V6
Pp3c1_37890	Pp1s147_29V6
Pp3c22_17550	Pp1s100_73V6
Pp3c22_17550	Pp1s100_73V6
Pp3c21_9970	Pp1s475_26V6
Pp3c21_9970	Pp1s475_26V6
Pp3c7_1880	Pp1s130_5V6
Pp3c7_1880	Pp1s130_5V6
Pp3c7_1880	Pp1s130_5V6
Pp3c7_1880	Pp1s130_5V6
Pp3c7_1880	Pp1s130_5V6
Pp3c7_1880	Pp1s130_5V6
Pp3c7_1880	Pp1s130_5V6
Pp3c6_14570	Pp1s195_69V6
Pp3c6_14570	Pp1s195_69V6
Pp3c6_14570	Pp1s195_69V6
Pp3c6_14570	Pp1s195_69V6
Pp3c6_14570	Pp1s195_69V6
Pp3c6_14570	Pp1s195_69V6
Pp3c6_14570	Pp1s195_69V6
Pp3c6_14570	Pp1s195_69V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c16_3300	Pp1s127_37V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c5_25660	Pp1s154_10V6
Pp3c16_22730	Pp1s4_222V6
Pp3c16_22730	Pp1s4_222V6
Pp3c16_22730	Pp1s4_222V6
Pp3c16_22730	Pp1s4_222V6
Pp3c16_22730	Pp1s4_222V6
Pp3c16_22730	Pp1s4_222V6
Pp3c7_9820	Pp1s87_23V6
Pp3c7_9820	Pp1s87_23V6
Pp3c7_9820	Pp1s87_23V6
Pp3c7_9820	Pp1s87_23V6
Pp3c7_9820	Pp1s87_23V6
Pp3c3_28310	Pp1s157_63V6
Pp3c3_28310	Pp1s157_63V6
Pp3c3_28310	Pp1s157_63V6
Pp3c3_28310	Pp1s157_63V6
Pp3c24_8200	Pp1s73_170V6
Pp3c24_8200	Pp1s73_170V6
Pp3c24_8200	Pp1s73_170V6
Pp3c19_5460	Pp1s303_85V6
Pp3c19_5460	Pp1s303_85V6
Pp3c23_16950	Pp1s222_123V6
Pp3c23_16950	Pp1s222_123V6
Pp3c23_16950	Pp1s222_123V6
Pp3c23_16950	Pp1s222_123V6
