Sinonimo	Ortologo
Pp3c26_2070	AT2G28880
Pp3c3_14480	AT5G38430
Pp3c3_14480	AT5G38410
Pp3c3_14480	AT5G38420
Pp3c3_14480	AT1G67090
Pp3c19_18320	AT3G19420
Pp3c8_14580	AT3G47870
Pp3c8_14580	AT3G13850
Pp3c21_9970	AT5G46800
Pp3c7_1880	AT4G02780
Pp3c3_28310	AT3G45940
Pp3c3_28310	AT1G68560
Pp3c2_4100	AT5G38430
Pp3c2_4100	AT5G38410
Pp3c2_4100	AT5G38420
Pp3c2_4100	AT1G67090
Pp3c18_3270	AT5G50200
Pp3c2_4800	AT2G16280
Pp3c2_4800	AT1G19440
Pp3c25_4290	AT5G45690
Pp3c25_4290	AT4G18920
Pp3c25_4290	AT1G29680
Pp3c26_14540	AT3G60590
Pp3c18_11000	AT5G54860
Pp3c14_8140	AT1G68520
Pp3c14_8140	AT1G25440
Pp3c14_8140	AT1G73870
Pp3c14_16910	AT2G15900
Pp3c15_23110	AT5G47390
Pp3c5_8390	AT5G12170
Pp3c5_8390	AT4G24460
Pp3c4_22170	AT5G62140
Pp3c2_19140	AT5G24130
Pp3c1_40460	AT5G51640
Pp3c1_40460	AT4G25360
Pp3c13_19170	AT3G15550
Pp3c1_28860	AT1G79160
Pp3c20_16040	AT3G21870
Pp3c3_3840	AT1G68090
Pp3c22_9700	AT4G00490
Pp3c2_32750	AT2G40690
Pp3c18_20850	AT1G32900
Pp3c4_15850	AT2G45870
Pp3c4_15850	AT3G61320
Pp3c22_5530	AT2G38290
Pp3c19_16160	AT3G49960
Pp3c19_16160	AT4G30170
Pp3c19_16160	AT4G37520
Pp3c19_16160	AT5G67400
Pp3c19_16160	AT2G18980
Pp3c19_16160	AT4G37530
Pp3c19_16160	AT5G14130
Pp3c1_23600	AT3G48180
Pp3c1_23600	AT1G19020
Pp3c13_6560	AT2G42975
Pp3c23_21570	AT5G15950
Pp3c23_21570	AT3G25570
Pp3c23_21570	AT3G02470
Pp3c17_6820	AT4G16100
Pp3c17_6820	AT5G49220
Pp3c12_25380	AT1G15710
Pp3c19_15840	AT2G21990
Pp3c19_15840	AT4G39610
Pp3c19_15840	AT5G06990
Pp3c5_26150	AT2G32950
Pp3c21_10400	AT4G10180
Pp3c3_10900	AT3G55060
Pp3c3_10900	AT2G39300
Pp3c27_3080	AT5G56780
Pp3c27_3080	AT4G26170
Pp3c10_14650	AT4G31290
Pp3c10_14650	AT5G26220
Pp3c16_15880	AT2G15620
Pp3c13_17460	AT5G04360
Pp3c22_8310	AT1G75620
Pp3c22_8310	AT3G57620
Pp3c22_8310	AT1G14430
Pp3c22_8310	AT1G19900
Pp3c20_2460	AT2G44530
Pp3c20_11000	AT2G34350
Pp3c20_11000	AT2G34355
Pp3c20_11000	AT1G18940
Pp3c20_11000	AT1G74780
Pp3c10_25730	AT3G57380
Pp3c10_25730	AT2G41640
Pp3c10_25730	AT3G10320
Pp3c11_15160	AT2G36500
Pp3c11_15160	AT3G52950
Pp3c22_11210	AT1G52855
Pp3c22_11210	AT2G20835
Pp3c22_11210	AT3G15534
Pp3c2_4740	AT5G12900
Pp3c2_4740	AT1G12330
Pp3c26_5590	AT3G60900
Pp3c26_5590	AT5G55730
Pp3c26_5590	AT4G12730
Pp3c26_5590	AT2G45470
Pp3c20_12980	AT3G06120
Pp3c20_12980	AT1G72210
Pp3c20_12980	AT4G01460
Pp3c20_12980	AT1G22490
Pp3c20_12980	AT5G65320
Pp3c20_12980	AT5G46690
Pp3c2_8640	AT3G04290
Pp3c2_8640	AT4G28780
Pp3c2_8640	AT5G33370
Pp3c2_8640	AT5G18430
Pp3c8_1870	AT1G68520
Pp3c8_1870	AT1G25440
Pp3c8_1870	AT1G73870
Pp3c17_8500	AT5G20540
Pp3c17_8500	AT1G54180
Pp3c17_8500	AT2G35600
Pp3c17_8500	AT3G14000
Pp3c17_8500	AT1G31880
Pp3c11_26670	AT1G53230
Pp3c11_26670	AT3G15030
Pp3c3_6890	AT4G38580
Pp3c3_6890	AT4G35060
Pp3c3_6890	AT2G18196
Pp3c3_6890	AT5G66110
Pp3c3_6890	AT4G10465
Pp3c1_15090	AT5G59750
Pp3c1_15090	AT5G64300
Pp3c1_15090	AT2G22450
Pp3c6_18950	AT5G12170
Pp3c6_18950	AT4G24460
Pp3c5_20450	AT3G28850
Pp3c20_18320	AT5G24580
Pp3c20_18320	AT1G29000
Pp3c18_18460	AT1G64780
Pp3c18_18460	AT4G13510
Pp3c18_18460	AT4G28700
Pp3c18_18460	AT3G24300
Pp3c18_18460	AT3G24290
Pp3c20_19980	AT4G36040
Pp3c20_19980	AT2G17880
Pp3c20_19980	AT3G13310
Pp3s64_90	AT4G28680
Pp3s64_90	AT2G20340
Pp3c8_17430	AT4G26850
Pp3c8_17430	AT5G55120
Pp3c7_20320	AT5G48300
Pp3c4_30870	AT4G28680
Pp3c4_30870	AT2G20340
Pp3c10_2700	AT3G12210
Pp3c20_22510	AT5G03860
Pp3c5_23690	AT5G65480
Pp3c5_23690	AT4G38060
Pp3c8_14050	AT2G39190
Pp3c11_4850	AT1G01390
Pp3c11_4850	AT4G36770
Pp3c11_4850	AT5G66690
Pp3c11_4850	AT4G01070
Pp3c11_4850	AT2G18570
Pp3c11_4850	AT1G01420
Pp3c11_4850	AT5G26310
Pp3c11_4850	AT3G50740
Pp3c26_11090	AT1G64680
Pp3c4_1450	AT4G13830
Pp3c24_12360	AT3G47430
Pp3c5_11390	AT3G20580
Pp3c5_11390	AT4G27110
Pp3c5_11390	AT4G16120
Pp3c5_11390	AT5G49270
Pp3c5_11390	AT3G16860
Pp3c25_2760	AT3G23920
Pp3c2_8700	AT1G44110
Pp3c2_8700	AT1G77390
Pp3c8_25010	AT1G19450
Pp3c8_25010	AT1G75220
Pp3c2_6750	AT2G33255
Pp3c17_20210	AT4G00260
Pp3c17_20210	AT4G31650
Pp3c17_20210	AT4G31620
Pp3c17_20210	AT2G24650
Pp3c17_20210	AT4G31615
Pp3c17_20210	AT4G31630
Pp3c17_20210	AT2G24700
Pp3c17_20210	AT5G32460
Pp3c17_20210	AT4G31640
Pp3c17_20210	AT4G31680
Pp3c17_20210	AT1G26680
Pp3c17_20210	AT2G24680
Pp3c17_20210	AT2G24645
Pp3c25_8200	AT5G07200
Pp3c25_8200	AT1G60980
Pp3c25_8200	AT1G44090
Pp3c25_8200	AT5G51810
