Sinonimos	Ortologos
Pp3c11_19850	AT4G23700
Pp3c11_19850	AT3G17630
Pp3c11_19850	AT5G41610
Pp3c16_19400	AT1G70370
Pp3c16_19400	AT1G23760
Pp3c16_19400	AT1G60390
Pp3c24_16440	AT3G05675
Pp3c10_2430	AT5G15050
Pp3c10_2430	AT5G39990
Pp3c7_5550	AT2G36060
Pp3c7_5550	AT3G52560
Pp3c2_1090	AT5G54540
Pp3c1_5560	AT1G74680
Pp3c1_5560	AT3G03650
Pp3c1_5560	AT3G45400
Pp3c2_26770	AT4G24230
Pp3c11_14750	AT2G25930
Pp3c6_17900	AT2G40820
Pp3c6_17900	AT2G26770
Pp3c6_17900	AT3G56480
Pp3c12_16420	AT1G80920
Pp3c10_11010	AT5G65205
Pp3c10_11010	AT5G10050
Pp3c11_22860	AT1G54990
Pp3c16_15400	AT5G42560
Pp3c16_15400	AT1G19950
Pp3c2_30060	AT4G00755
Pp3c4_3150	AT1G15740
Pp3c1_21760	AT5G06950
Pp3c1_21760	AT1G68640
Pp3c1_21760	AT5G06960
Pp3c1_21760	AT3G12250
Pp3c24_7590	AT1G14600
Pp3c5_16470	AT4G24040
Pp3c20_18670	AT1G68570
Pp3c6_28590	AT5G04500
Pp3c12_14620	AT4G19160
Pp3c18_3780	AT1G80920
Pp3c16_11320	AT3G10740
Pp3c16_11320	AT5G26120
Pp3c2_9700	AT4G23550
Pp3c2_9700	AT4G01250
Pp3c2_9700	AT5G52830
Pp3c27_7560	AT5G53950
Pp3c27_7560	AT3G15170
Pp3c1_31630	AT5G66200
Pp3c1_31630	AT4G36030
Pp3c1_31630	AT4G34940
Pp3c24_13070	AT5G60410
Pp3c12_23630	AT4G33590
Pp3c12_23630	AT4G33600
Pp3c21_1800	AT1G11380
Pp3c2_15140	AT5G14740
Pp3c2_15140	AT3G01500
Pp3c8_11300	AT1G49740
Pp3c8_11300	AT3G19310
Pp3c8_11300	AT5G67130
Pp3c8_11300	AT4G36945
Pp3c5_19220	AT5G20960
Pp3c5_19220	AT2G27150
Pp3c5_19220	AT3G43600
Pp3c5_19220	AT1G04580
Pp3c19_2450	AT1G68520
Pp3c19_2450	AT1G25440
Pp3c19_2450	AT1G73870
Pp3c23_6560	AT3G57040
Pp3c23_6560	AT5G62920
Pp3c23_6560	AT1G74890
Pp3c23_6560	AT2G41310
Pp3c23_6560	AT1G19050
Pp3c23_6560	AT1G59940
Pp3c23_6560	AT3G48100
Pp3c23_6560	AT1G10470
Pp3c2_27180	AT3G55840
Pp3c2_27180	AT2G40000
Pp3c2_29500	AT2G21820
Pp3c27_3700	AT3G20580
Pp3c27_3700	AT4G27110
Pp3c27_3700	AT4G16120
Pp3c27_3700	AT5G49270
Pp3c27_3700	AT3G16860
Pp3c3_22990	AT5G51460
Pp3c3_22990	AT5G10100
Pp3c3_22990	AT5G65140
Pp3c3_22990	AT2G22190
Pp3c3_22990	AT1G78090
Pp3c3_22990	AT1G22210
Pp3c3_22990	AT4G22590
Pp3c3_22990	AT4G12430
Pp3c3_22990	AT4G39770
Pp3c3_22990	AT1G35910
Pp3c18_18020	AT5G57800
Pp3c23_20370	AT2G39650
Pp3c3_28970	AT1G66470
Pp3c3_28970	AT5G37800
Pp3c23_13900	AT5G56120
Pp3c23_13900	AT3G12870
Pp3c3_18090	AT2G35710
Pp3c3_18090	AT4G16600
Pp3c8_16670	AT5G54570
Pp3c8_16670	AT1G26560
Pp3c24_2840	AT1G64060
Pp3c24_2840	AT4G11230
Pp3c16_13490	AT1G74950
Pp3c16_13490	AT1G19180
Pp3c16_13490	AT1G17380
Pp3c16_13490	AT1G72450
Pp3c24_13160	AT3G47340
Pp3c24_13160	AT5G65010
Pp3c24_13160	AT5G10240
Pp3c5_740	AT4G27410
Pp3c5_740	AT1G52890
Pp3c5_740	AT3G15500
Pp3c11_23340	AT2G18950
Pp3c25_13070	AT5G20120
Pp3c7_23600	AT5G48380
Pp3c14_25010	AT5G39030
Pp3c14_25010	AT1G66910
Pp3c14_25010	AT4G18250
Pp3c14_25010	AT5G38260
Pp3c14_25010	AT1G66930
Pp3c14_25010	AT5G38280
Pp3c14_25010	AT1G66920
Pp3c14_25010	AT1G70250
Pp3c22_21520	AT5G11040
Pp3c2_24620	AT3G45940
Pp3c2_24620	AT1G68560
Pp3c24_2970	AT1G23080
Pp3c24_2970	AT2G01420
Pp3c24_2970	AT5G57090
Pp3c24_2970	AT1G70940
Pp3c24_2970	AT1G73590
Pp3c19_20300	AT1G07110
Pp3c22_13060	AT3G54220
Pp3c7_25640	AT5G42650
Pp3c22_8860	AT1G78000
Pp3c22_8860	AT1G22150
Pp3c22_8860	AT4G08620
Pp3c9_11330	AT4G14713
Pp3c9_11330	AT4G14720
Pp3c16_22100	AT3G22560
Pp3c16_22100	AT2G32020
Pp3c16_22100	AT2G32030
Pp3c13_3330	AT4G38580
Pp3c13_3330	AT4G35060
Pp3c13_3330	AT2G18196
Pp3c13_3330	AT5G66110
Pp3c13_3330	AT4G10465
Pp3c19_3540	AT3G10960
Pp3c24_9140	AT1G02640
Pp3c24_9140	AT3G19620
Pp3c24_9140	AT5G64570
Pp3c24_9140	AT5G49360
Pp3c24_9140	AT5G09730
Pp3c6_19940	AT3G22320
Pp3c20_12200	AT4G18170
Pp3c20_12200	AT3G62340
Pp3c20_12200	AT2G47260
Pp3c2_24290	AT2G32950
Pp3c23_1050	AT4G24250
Pp3c23_1050	AT4G02600
Pp3c23_1050	AT2G44110
Pp3c5_27150	AT3G01470
Pp3c15_11620	AT4G14713
Pp3c15_11620	AT4G14720
Pp3c11_2770	AT3G51930
Pp3c21_16050	AT3G02550
Pp3c21_16050	AT1G67100
Pp3c21_16050	AT1G68510
Pp3c17_19970	AT4G31550
Pp3c17_19970	AT2G24570
